id,source_site,source_url,operation_type,product_name,product_slug,category,description,specs_json,image_urls_json,contact_phone,contact_email,captured_at,crawl_status,notes
deados-alquiler-atex-a699f82a57,deados.com.py,https://deados.com.py/alquileres.html,alquiler,Atex,atex,,,{},"[""https://deados.com.py/images/deados-casetones-atex.jpg""]",,,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; producto listado en página índice; enlace externo no recorrido: http://www.atex.com.py/
deados-alquiler-pluma-montacarga-eb752936df,deados.com.py,https://deados.com.py/pluma-montacarga.html,alquiler,Pluma montacarga,pluma-montacarga,,"Elevador para obra, capacidad de carga 300 kg, elevación 25 m, motor eléctrico monofásico.","{""altura_de_elevacion"": ""25 m"", ""capacidad_de_elevacion"": ""300 Kg"", ""diametro_del_cable_de_acero"": ""5 mm"", ""longitud_del_cable_de_acero"": ""27 m"", ""peso"": ""55 Kg"", ""potencia"": ""1,1 kW"", ""revoluciones"": ""1320 rpm"", ""velocidad_media_de_elevacion_a_plena_carga"": ""19 m/min"", ""voltaje"": ""230 V""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/pluma-guinche.jpg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde seed
deados-alquiler-balancin-electrico-53a35fa6d1,deados.com.py,https://deados.com.py/balancin-electrico.html,alquiler,Balancín eléctrico,balancin-electrico,Balancín Eléctrico,Plataforma colgante eléctrica. - CAPACIDAD DE CARGA 600 KG - EXTENSIÓN DE CANASTA 4 A 7.5 mts - ALTURA ÚTIL 100 m. - VELOCIDAD 9.6 m/min,"{""altura_util"": ""100 m."", ""capacidad_de_carga"": ""600 KG"", ""extension_de_canasta"": ""4 A 7.5 mts"", ""velocidad"": ""9.6 m/min""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/balancin-electrico.jpg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde seed
deados-alquiler-balancin-manual-658378da4e,deados.com.py,https://deados.com.py/balancin-manual.html,alquiler,Balancín manual,balancin-manual,Balancín Manual,"Carretel de fundición de acero, doble sistema de trabas accionadas por resortes. Bastidor de una sola pieza de planchuela. - CRIQUET MANUAL: carretel de fundición de acero, doble sistema de trabas accionadas por resortes. Bastidor de una sola pieza de planchuela. - CAPACIDAD DE ENRROLLADO: 70 m. ‍ - CAPACIDAD DE TABLONES: 2 (dos)","{""capacidad_de_enrrollado"": ""70 m."", ""capacidad_de_tablones"": ""2 (dos)"", ""criquet_manual"": ""carretel de fundición de acero, doble sistema de trabas accionadas por resortes. Bastidor de una sola pieza de planchuela.""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/Andamio-balancín-1.jpg"", ""https://deados.com.py/images/Andamio-balancín-p-500.jpeg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde seed
deados-alquiler-torre-montacarga-77e9e4cc2e,deados.com.py,https://deados.com.py/torre-montacaga.html,alquiler,Torre montacarga,torre-montacarga,,"Su diseño se destaca ampliamente por su avanzada técnica de fabricación.Es del tipo PRE-ARMADA de máxima sencillez, robustez y rendimiento, de fácil y rápido armado constituye un elevado exponente de utilidad para la construcción moderna.","{""capacidad_de_carga"": ""Hasta 900 kg"", ""extension_de_altura"": ""Hasta 30 metros""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/torre-dual_1.jpg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde seed
deados-venta_usados-allanadoras-4c6f667414,deados.com.py,https://deados.com.py/allanadoras.html,venta_usados,Allanadoras,allanadoras,,"Alquiler y Venta de Maquinas y Herramientas para la construcción, Servicios de Mantenimiento de Edificios e Importaciones.","{""allanadora_de"": ""36'' (90 CM)"", ""allanadora_esquinera"": ""24'' (61 CM)""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/deados-allanadora.jpg"", ""https://deados.com.py/images/deados-allanadora-p-500.jpeg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde https://deados.com.py/venta-usados.html
deados-venta_usados-cortadoras-de-junta-089e2853b2,deados.com.py,https://deados.com.py/cortadoras-de-junta.html,venta_usados,Cortadoras de junta,cortadoras-de-junta,,"Alquiler y Venta de Maquinas y Herramientas para la construcción, Servicios de Mantenimiento de Edificios e Importaciones.","{""cortadora_de_asfalto"": ""16'' (400 mm)""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/deados-cortador-de-hormigon.jpg"", ""https://deados.com.py/images/deados-cortador-de-hormigon-p-500.jpeg"", ""https://deados.com.py/images/cortadora-asfalto.jpg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde https://deados.com.py/venta-usados.html
deados-venta_usados-cortadora-de-varillas-10d68326a9,deados.com.py,https://deados.com.py/cortador-de-varillas.html,venta_usados,Cortadora de Varillas,cortadora-de-varillas,,"Alquiler y Venta de Maquinas y Herramientas para la construcción, Servicios de Mantenimiento de Edificios e Importaciones.","{""aceite"": ""4 lt"", ""dimensiones"": ""130x71x95 cm"", ""dos_cuchillas_intercambiables_de"": ""4 aristas de corte."", ""motor"": ""7,5 hp"", ""peso"": ""750,0 kg"", ""r"": ""65 KG/MM² 1Ø 55"", ""rpm"": ""40 rpm"", ""tension_de_alimentacion"": ""380 V""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/cortadora-hierro-electrica.jpg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde https://deados.com.py/venta-usados.html
deados-venta_usados-doblador-de-hierro-ccda9e3f86,deados.com.py,https://deados.com.py/doblador-de-hierro.html,venta_usados,Doblador de Hierro,doblador-de-hierro,,"Alquiler y Venta de Maquinas y Herramientas para la construcción, Servicios de Mantenimiento de Edificios e Importaciones.","{""1_set_de_rodillos_diametros"": ""50, 60, 70 y 80 mm."", ""aceite"": ""8 lt"", ""comandos"": ""24 V."", ""dimensiones"": ""81x76x86 cm"", ""peso"": ""350,0 kg"", ""potencia"": ""2,2 kW"", ""r"": ""65 KG/MM² 1Ø 32"", ""rpm"": ""9 rpm"", ""tension_de_alimentacion"": ""380 V""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/deados-dobladora-de-hierro.jpg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde https://deados.com.py/venta-usados.html
deados-venta_usados-martillete-electrico-56f6b86e1d,deados.com.py,https://deados.com.py/martillete-electrico.html,venta_usados,Martillete Eléctrico,martillete-electrico,,"Alquiler y Venta de Maquinas y Herramientas para la construcción, Servicios de Mantenimiento de Edificios e Importaciones.","{""de"": ""9, 16 y 30 kg""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/deados-martillete-electrico.jpg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde https://deados.com.py/venta-usados.html
deados-venta_usados-apisonador-6280c66957,deados.com.py,https://deados.com.py/apisonador.html,venta_usados,Apisonador,apisonador,,"Alquiler y Venta de Maquinas y Herramientas para la construcción, Servicios de Mantenimiento de Edificios e Importaciones.","{""65_y"": ""75 kilos""}","[""https://deados.com.py/images/deados-logotipo-top.png"", ""https://deados.com.py/images/deados-sapito.jpg"", ""https://deados.com.py/images/llamenos-ahora-chico.png"", ""https://deados.com.py/images/volver-catalogo-alquiler-btn.png"", ""https://deados.com.py/images/cuente-con-nosotros.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-500.png"", ""https://deados.com.py/images/cuente-con-nosotros-p-800.png""]",+595994394115,info@deados.com.py,2026-05-13T14:14:51.266008+00:00,ok,robots.txt no existe: https://deados.com.py/robots.txt; descubierto desde https://deados.com.py/venta-usados.html
